162235551,Ana Arantes Carreira Nascimento Regueira,11/1/1971,Linhares
127371054,Ana Moreira Amorim Castro,3/7/1965,Carrapichana
063486030,Alzinda Mota Belchior Almada Carneiro,15/8/1990,Gafanhoeira (Sao Pedro) e Sabugueiro
708711411,Ana Rego Andrade Ferreira Carrasco,28/5/1995,Falagueira-Venda Nova
133980097,Ana Bogas Cipriano Valbom,21/1/1981,S. Felix
057855127,Ana Azenha Clementino Carrico,12/6/1996,Zebreira e Segura
263947333,Alzinda Castro Barros Soeiro,6/1/1999,Vade (S. Tome)
994107424,Ana Rego Leao Proenca,11/3/1955,Aldeia Velha
802936813,Ana Almada Belchior Lobato Mota,8/1/1971,Seixo do Coa e Vale Longo
281559578,Alzinda Baptista Rego Proenca Carneiro,14/2/1959,Covelas
642749738,Ana Matos Soeiro Real Sequeira,2/6/1959,Santa Valha
255884639,Alzinda Queiros Almada Martins Amora,28/9/1955,Quinta do Conde
431102667,Alzinda Domingos Rego Vivas,14/3/1998,Rendufinho
149699336,Alzinda Santos Carreira Peres,9/6/1985,Reliquias
643953992,Alzinda Carrico Pinheiro Carrasco Moreira,5/12/1963,S. Pedro de France
140908873,Alzinda Arantes Castanheira Nogueira Cardoso,28/11/2001,Bornes e Burga
919645619,Ana Dias Amora Proenca Belchior,14/12/1996,Macainhas
263730153,Alzinda Carrico Calado Lobato,9/4/1992,Alcaria
462588908,Alzinda Amora Amorim Pinto,2/10/1991,Ansiao
804579845,Ana Nogueira Dias Pacheco Mateus,28/7/2001,Carapito
758089157,Ana Lopes Amora Moreno Rego,4/7/1961,Cunheira
334601887,Ana Quadros Proenca Pacheco Real,22/4/1974,Ereira e Lapa
339375794,Alzinda Paredes Azenha Barbosa,22/9/2000,Santa Cruz
245952940,Alzinda Rosado Amorim Coelho Barros,20/11/1982,Sobretamega
970042297,Alzinda Lobato Carneiro Azevedo Mota,8/5/1950,S. Cristovao de Nogueira
144942538,Ana Nascimento Azeredo Mendes Regueira,8/5/1967,Manigoto
220698841,Alzinda Mateus Leao Lobato Almeida,25/6/1959,Souto
429653650,Alzinda Farias Antunes Aguiar Seixas,24/11/1958,Sao Joao Baptista
628251493,Ana Farias Mateus Leao Pacheco,4/10/1969,Benfica
261309090,Ana Nunes Leao Moura Brito,28/10/1979,Seixo da Beira
436098037,Alzinda Domingos Amado Amora Farias,2/9/1970,Oliveira (Santa Maria)
886929134,Alzinda Calado Andrade Amorim,30/5/1961,Antas
883170535,Alzinda Lopes Belchior Barbosa,3/9/1984,Arnoia
104822878,Ana Lobato Barros Aguiar,20/3/1971,Campo de Besteiros
897026594,Ana Amorim Bacelar Rosado Lobato,23/9/1962,Ribeira do Neiva
615237312,Ana Baptista Andrade Almada,12/6/1957,Santiago Maior
078245077,Ana Clementino Seixas Moreno Antunes,20/2/1998,Casteloes
075075510,Alzinda Nascimento Azeredo Estrela Real,26/11/1969,Pera do Moco
293813770,Ana Azeredo Leal Rego,16/6/1961,Briteiros Sao Salvador e Briteiros Santa Leocadia
630617999,Ana Barros Castanheira Caiado Seixas,1/11/1989,Fonte Boa e Rio Tinto
103882071,Ana Estrela Dias Azevedo Almada,19/2/1953,S. Pedro da Torre
302978317,Alzinda Domingos Brito Barros Mourao,9/5/1962,Souto da Carpalhosa e Ortigosa
957631108,Alzinda Baptista Caneco Clementino,17/5/1952,Vale de Figueira
371952166,Ana Azeredo Caneco Pacheco Vivas,24/1/1955,Planalto de Monforte (Oucidres e Bobadela)
312000365,Ana Vivas Queiros Domingos Rego,30/8/1994,Rosario
217634476,Alzinda Martins Calado Caneco,17/4/2001,Regilde
585496274,Ana Pinheiro Eanes Ramalho Peres,17/4/1969,Fontelo
965445368,Ana Castro Leal Carrasco Pacheco,6/11/1972,Gaio-Rosario e Sarilhos Pequenos
896541629,Ana Bacelar Amorim Seixas,15/3/1955,Alcafache
764208733,Ana Amorim Vivas Lobato Castanheira,11/7/1970,Gioes
473452735,Ana Tinoco Azeredo Clementino Ramalho,25/4/1996,Rebordosa
149204578,Alzinda Amora Calheiros Ferraz,6/6/2001,Pessegueiro do Vouga
603709988,Alzinda Martins Farias Baptista Rego,28/6/1978,Atouguia
798329147,Ana Almeida Azevedo Leao Carmona,19/1/1968,Abiul
450984956,Alzinda Ramalho Antunes Macedo Mora,2/12/1976,Barrocas e Taias
787482329,Alzinda Martins Ferraz Moreno Belchior,30/1/1955,Pombal
307474230,Alzinda Carrasco Moura Seixas Dinis,12/6/1977,Vale Flor, Carvalhal e Pai Penela
197708620,Alzinda Nogueira Rego Coelho Queiros,4/11/1956,Campo do Geres
241195594,Ana Leal Pinto Brito,17/11/2001,Atalaia e Safurdao
